CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
BMU,Bermuda,POLIO,IPV1,2017.0,0.0,0.0,0.0,
BMU,Bermuda,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
BMU,Bermuda,POLIO,IPV2,2020.0,0.0,0.0,0.0,
BMU,Bermuda,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
BOL,Bolivia (Plurinational State of),POLIO,IPV1,2014.0,2.588235294117647,0.0,-2.588235294117647,-100.0
BOL,Bolivia (Plurinational State of),POLIO,IPV1_FRAC,2018.0,2.3157894736842106,0.0,-2.3157894736842106,-100.0
BOL,Bolivia (Plurinational State of),POLIO,IPV2,2020.0,2.2,0.0,-2.2,-100.0
BOL,Bolivia (Plurinational State of),POLIO,IPV2_FRAC,2018.0,2.3157894736842106,0.0,-2.3157894736842106,-100.0
BRA,Brazil,POLIO,IPV1,2012.0,91.5625,0.0,-91.5625,-100.0
BRA,Brazil,POLIO,IPV1_FRAC,2018.0,77.10526315789474,0.0,-77.10526315789474,-100.0
BRA,Brazil,POLIO,IPV2,2020.0,73.25,0.0,-73.25,-100.0
BRA,Brazil,POLIO,IPV2_FRAC,2018.0,77.10526315789474,0.0,-77.10526315789474,-100.0
BRB,Barbados,POLIO,IPV1,2014.0,0.0,0.0,0.0,
BRB,Barbados,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
BRB,Barbados,POLIO,IPV2,2020.0,0.0,0.0,0.0,
BRB,Barbados,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
BRN,Brunei Darussalam,POLIO,IPV1,2014.0,0.0,0.0,0.0,
BRN,Brunei Darussalam,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
BRN,Brunei Darussalam,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
BTN,Bhutan,POLIO,IPV1,2014.0,1.903225806451613,0.0,-1.903225806451613,-100.0
BTN,Bhutan,POLIO,IPV1_FRAC,2018.0,1.6857142857142857,0.0,-1.6857142857142857,-100.0
BTN,Bhutan,POLIO,IPV2,2021.0,1.5526315789473684,0.0,-1.5526315789473684,-100.0
BTN,Bhutan,POLIO,IPV2_FRAC,2018.0,1.6857142857142857,0.0,-1.6857142857142857,-100.0
BWA,Botswana,POLIO,IPV1,2014.0,0.7058823529411765,0.0,-0.7058823529411765,-100.0
BWA,Botswana,POLIO,IPV1_FRAC,2018.0,0.631578947368421,0.0,-0.631578947368421,-100.0
BWA,Botswana,POLIO,IPV2,2021.0,0.5853658536585366,0.0,-0.5853658536585366,-100.0
BWA,Botswana,POLIO,IPV2_FRAC,2018.0,0.631578947368421,0.0,-0.631578947368421,-100.0
CAF,Central African Republic,POLIO,IPV1,2014.0,28.558823529411764,4.5,-24.058823529411764,-84.24304840370752
CAF,Central African Republic,POLIO,IPV1_FRAC,2018.0,25.55263157894737,7.5,-18.05263157894737,-70.64881565396499
CAF,Central African Republic,POLIO,IPV2,2021.0,24.29268292682927,6.666666666666667,-17.6260162601626,-72.55689424364122
CAF,Central African Republic,POLIO,IPV2_FRAC,2018.0,25.55263157894737,7.5,-18.05263157894737,-70.64881565396499
CAN,Canada,POLIO,IPV1,2013.0,0.15151515151515152,0.09090909090909091,-0.06060606060606061,-40.0
CAN,Canada,POLIO,IPV1_FRAC,2018.0,0.15789473684210525,0.0,-0.15789473684210525,-100.0
CAN,Canada,POLIO,IPV2,2020.0,0.15,0.0,-0.15,-100.0
CAN,Canada,POLIO,IPV2_FRAC,2018.0,0.15789473684210525,0.0,-0.15789473684210525,-100.0
CHE,Switzerland,POLIO,IPV1,2014.0,0.17647058823529413,0.0,-0.17647058823529413,-100.0
CHE,Switzerland,POLIO,IPV1_FRAC,2018.0,0.15789473684210525,0.0,-0.15789473684210525,-100.0
CHE,Switzerland,POLIO,IPV2_FRAC,2018.0,0.15789473684210525,0.0,-0.15789473684210525,-100.0
CHL,Chile,POLIO,IPV1,2014.0,0.09090909090909091,0.0,-0.09090909090909091,-100.0
